record_id,creation_date,theft_start_date,theft_start_hour,theft_end_date,theft_end_hour,lor_area_code,sub_district_name,sub_district_lat,sub_district_long,value_euro,theft_attempt,bike_type,theft_category,detection_reason
1,01/01/2021,01/01/2021,9,01/01/2021,11,4200206,Charlottenburg West,52.5157470,13.3096834,290,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
2,01/01/2021,01/01/2021,17,01/01/2021,18,8401241,Buckow Nord/Rudow,52.4146801,13.4986183,888,NO,BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
3,01/01/2021,01/01/2021,5,01/01/2021,8,10400941,Kaulsdorf/Mahlsdorf,52.5086995,13.6131624,2527,NO,OTHER BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
4,01/01/2021,01/01/2021,20,01/01/2021,20,2100104,Kreuzberg Nord,52.5049589,13.3905699,2800,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
5,02/01/2021,01/01/2021,1,02/01/2021,10,1200517,Moabit,52.5216560,13.4141550,200,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
6,02/01/2021,02/01/2021,13,02/01/2021,13,8401243,Buckow Nord/Rudow,52.4146801,13.4986183,1700,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
7,02/01/2021,01/01/2021,1,01/01/2021,3,2100105,Kreuzberg Nord,52.5049589,13.3905699,2000,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
8,02/01/2021,01/01/2021,12,02/01/2021,15,11300826,Lichtenberg Nord,52.5321606,13.5118927,377,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
9,02/01/2021,01/01/2021,18,01/01/2021,18,4501151,Wilmersdorf Zentrum,52.4871152,13.3203298,929,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
10,02/01/2021,01/01/2021,5,01/01/2021,8,4300517,Charlottenburg Zentrum,52.5157470,13.3096834,1500,NO,MOUNTAIN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
11,02/01/2021,02/01/2021,9,02/01/2021,15,12500930,Wittenau/Borsigwalde,52.5912366,13.3233195,200,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
12,03/01/2021,02/01/2021,11,03/01/2021,10,9501737,Treptow-Köpenick,52.4178930,13.6001848,1599,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
13,03/01/2021,02/01/2021,10,02/01/2021,14,3601451,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,598,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
14,03/01/2021,01/01/2021,21,02/01/2021,23,2500831,Friedrichshain Ost,52.5122154,13.4502904,3500,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
15,04/01/2021,03/01/2021,21,04/01/2021,7,3200309,Nördliches Pankow,52.5979174,13.4353160,1350,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
16,04/01/2021,04/01/2021,12,04/01/2021,14,12100101,Reinickendorf Ost,52.5658318,13.3596422,370,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
17,04/01/2021,02/01/2021,14,04/01/2021,9,4501041,Wilmersdorf Zentrum,52.4871152,13.3203298,1300,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
18,04/01/2021,04/01/2021,20,04/01/2021,20,4300624,Charlottenburg Zentrum,52.5157470,13.3096834,500,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
19,04/01/2021,01/01/2021,14,04/01/2021,10,4300413,Charlottenburg Zentrum,52.5157470,13.3096834,599,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
20,04/01/2021,03/01/2021,17,04/01/2021,14,7100101,Schöneberg Nord,52.4821570,13.3551901,1100,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
21,04/01/2021,02/01/2021,17,04/01/2021,13,3601346,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,901,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
22,04/01/2021,04/01/2021,8,04/01/2021,14,11501238,Lichtenberg Süd,52.5321606,13.5118927,799,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
23,04/01/2021,03/01/2021,13,03/01/2021,14,6400737,Zehlendorf Nord/Wannsee,52.4211482,13.1589374,400,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
24,04/01/2021,04/01/2021,7,04/01/2021,18,6400838,Zehlendorf Nord/Wannsee,52.4211482,13.1589374,1899,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
25,04/01/2021,04/01/2021,8,04/01/2021,14,12100204,Reinickendorf Ost,52.5658318,13.3596422,180,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
26,04/01/2021,04/01/2021,12,04/01/2021,15,3601140,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,799,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
27,04/01/2021,03/01/2021,19,04/01/2021,8,9200717,Treptow-Köpenick,52.4178930,13.6001848,1,NO,MOUNTAIN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
28,04/01/2021,03/01/2021,19,03/01/2021,21,6300526,Zehlendorf Süd/Lichterfelde West,52.4343217,13.2589298,500,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
29,04/01/2021,04/01/2021,6,04/01/2021,14,4300624,Charlottenburg Zentrum,52.5157470,13.3096834,1300,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
30,04/01/2021,01/01/2021,14,02/01/2021,3,10200524,Hellersdorf,52.5386124,13.6044407,700,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
31,04/01/2021,04/01/2021,14,04/01/2021,14,1100310,Zentrum,52.5301017,13.3425422,999,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
32,04/01/2021,02/01/2021,18,02/01/2021,20,7100101,Schöneberg Nord,52.4821570,13.3551901,864,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
33,04/01/2021,04/01/2021,9,04/01/2021,9,2200213,Kreuzberg Süd,52.5049589,13.3905699,585,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
34,04/01/2021,04/01/2021,18,04/01/2021,19,1100415,Zentrum,52.5301017,13.3425422,930,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
35,04/01/2021,02/01/2021,16,03/01/2021,11,3701660,Südlicher Prenzlauer Berg,52.5398466,13.4285652,1419,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
36,05/01/2021,05/01/2021,12,05/01/2021,16,1100416,Zentrum,52.5301017,13.3425422,1499,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
37,05/01/2021,04/01/2021,23,05/01/2021,19,2200208,Kreuzberg Süd,52.5049589,13.3905699,5762,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
38,05/01/2021,01/01/2021,15,03/01/2021,12,3701555,Südlicher Prenzlauer Berg,52.5398466,13.4285652,537,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
39,05/01/2021,04/01/2021,8,04/01/2021,20,7200307,Schöneberg Süd,52.4821570,13.3551901,275,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
40,05/01/2021,05/01/2021,11,05/01/2021,12,4300621,Charlottenburg Zentrum,52.5157470,13.3096834,2600,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
41,05/01/2021,04/01/2021,10,04/01/2021,15,9401329,Treptow-Köpenick,52.4178930,13.6001848,899,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
42,05/01/2021,04/01/2021,8,04/01/2021,18,2100102,Kreuzberg Nord,52.5049589,13.3905699,979,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
43,05/01/2021,03/01/2021,12,05/01/2021,17,4300619,Charlottenburg Zentrum,52.5157470,13.3096834,599,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
44,05/01/2021,05/01/2021,18,05/01/2021,19,1300733,Gesund­­brunnen,52.5509201,13.3848460,1900,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
45,05/01/2021,05/01/2021,13,05/01/2021,21,1200623,Moabit,52.5216560,13.4141550,1150,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
46,05/01/2021,04/01/2021,15,05/01/2021,6,4501147,Wilmersdorf Zentrum,52.4871152,13.3203298,2834,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
47,05/01/2021,05/01/2021,3,05/01/2021,4,12200309,Tegel,52.5873891,13.2790461,1000,NO,LADIES BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
48,05/01/2021,05/01/2021,9,05/01/2021,15,4300624,Charlottenburg Zentrum,52.5157470,13.3096834,1000,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
49,05/01/2021,04/01/2021,16,05/01/2021,6,7601238,Marienfelde / Lichtenrade,52.3934559,13.4020397,150,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
50,05/01/2021,03/01/2021,22,05/01/2021,12,7100101,Schöneberg Nord,52.4821570,13.3551901,4050,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
51,05/01/2021,04/01/2021,16,05/01/2021,12,1200626,Moabit,52.5216560,13.4141550,299,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
52,05/01/2021,05/01/2021,13,05/01/2021,14,2200212,Kreuzberg Süd,52.5049589,13.3905699,590,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
53,05/01/2021,02/01/2021,15,05/01/2021,9,3601140,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,300,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
54,05/01/2021,05/01/2021,9,05/01/2021,15,4300413,Charlottenburg Zentrum,52.5157470,13.3096834,80,NO,LADIES BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
55,05/01/2021,02/01/2021,15,02/01/2021,19,11200514,Hohenschönhausen Süd,52.5494183,13.5021930,100,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
56,05/01/2021,04/01/2021,15,05/01/2021,7,8100103,Neukölln,52.4811497,13.4353501,649,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
57,05/01/2021,04/01/2021,21,05/01/2021,11,1200522,Moabit,52.5216560,13.4141550,1090,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
58,05/01/2021,04/01/2021,20,05/01/2021,12,4400833,Wilmersdorf Süd,52.4871152,13.3203298,100,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
59,05/01/2021,04/01/2021,19,05/01/2021,7,3601141,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,1500,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
60,05/01/2021,05/01/2021,10,05/01/2021,18,3701554,Südlicher Prenzlauer Berg,52.5398466,13.4285652,390,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
61,05/01/2021,04/01/2021,15,05/01/2021,9,7400720,Tempelhof,52.4632921,13.3864477,494,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
62,05/01/2021,04/01/2021,15,04/01/2021,16,7200307,Schöneberg Süd,52.4821570,13.3551901,1800,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
63,05/01/2021,05/01/2021,13,05/01/2021,17,1200626,Moabit,52.5216560,13.4141550,570,NO,BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
64,05/01/2021,03/01/2021,12,05/01/2021,17,4300619,Charlottenburg Zentrum,52.5157470,13.3096834,5684,NO,OTHER BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
65,05/01/2021,02/01/2021,15,04/01/2021,10,3701658,Südlicher Prenzlauer Berg,52.5398466,13.4285652,659,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
66,05/01/2021,04/01/2021,20,05/01/2021,11,2200211,Kreuzberg Süd,52.5049589,13.3905699,299,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
67,06/01/2021,03/01/2021,15,03/01/2021,15,3601451,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,450,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
68,06/01/2021,06/01/2021,8,06/01/2021,19,11501341,Lichtenberg Süd,52.5321606,13.5118927,380,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
69,06/01/2021,05/01/2021,12,06/01/2021,12,1100416,Zentrum,52.5301017,13.3425422,1800,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
70,06/01/2021,04/01/2021,14,05/01/2021,7,1400939,Wedding,52.5501230,13.3419700,320,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
71,06/01/2021,04/01/2021,20,06/01/2021,11,2100105,Kreuzberg Nord,52.5049589,13.3905699,949,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
72,06/01/2021,05/01/2021,20,06/01/2021,11,6400840,Zehlendorf Nord/Wannsee,52.4211482,13.1589374,850,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
73,06/01/2021,06/01/2021,15,06/01/2021,15,7601340,Marienfelde / Lichtenrade,52.3934559,13.4020397,500,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
74,06/01/2021,04/01/2021,15,06/01/2021,10,8100102,Neukölln,52.4811497,13.4353501,695,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
75,06/01/2021,05/01/2021,13,05/01/2021,15,7100206,Schöneberg Nord,52.4821570,13.3551901,700,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
76,06/01/2021,05/01/2021,9,06/01/2021,6,4300620,Charlottenburg Zentrum,52.5157470,13.3096834,1549,NO,RACING BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
77,06/01/2021,04/01/2021,17,06/01/2021,15,1200623,Moabit,52.5216560,13.4141550,679,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
78,06/01/2021,06/01/2021,11,06/01/2021,12,4300623,Charlottenburg Zentrum,52.5157470,13.3096834,2600,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
79,06/01/2021,05/01/2021,21,06/01/2021,8,9100101,Treptow-Köpenick,52.4178930,13.6001848,1074,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
80,06/01/2021,05/01/2021,8,05/01/2021,19,9200715,Treptow-Köpenick,52.4178930,13.6001848,100,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
81,06/01/2021,04/01/2021,11,04/01/2021,17,3601142,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,487,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
82,06/01/2021,05/01/2021,18,06/01/2021,6,3701660,Südlicher Prenzlauer Berg,52.5398466,13.4285652,800,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
83,06/01/2021,05/01/2021,20,06/01/2021,8,9100304,Treptow-Köpenick,52.4178930,13.6001848,1959,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
84,06/01/2021,05/01/2021,10,05/01/2021,12,5100209,Spandau Mitte / Nord,52.5357880,13.1977924,1500,NO,OTHER BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
85,06/01/2021,05/01/2021,20,06/01/2021,7,7100103,Schöneberg Nord,52.4821570,13.3551901,2399,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
86,06/01/2021,05/01/2021,19,05/01/2021,22,9200715,Treptow-Köpenick,52.4178930,13.6001848,100,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
87,06/01/2021,06/01/2021,16,06/01/2021,16,7100204,Schöneberg Nord,52.4821570,13.3551901,1144,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
88,06/01/2021,06/01/2021,17,06/01/2021,17,4300413,Charlottenburg Zentrum,52.5157470,13.3096834,424,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
89,06/01/2021,06/01/2021,17,06/01/2021,17,5100101,Spandau Mitte / Nord,52.5357880,13.1977924,400,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
90,06/01/2021,06/01/2021,14,06/01/2021,17,11400929,Lichtenberg Mitte,52.5321606,13.5118927,1760,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
91,06/01/2021,03/01/2021,16,06/01/2021,12,3701555,Südlicher Prenzlauer Berg,52.5398466,13.4285652,888,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
